開講年度	開講学期	曜日	時限	教員	科目名	授業番号	単位数	シラバスURL	科目区分	学部コード
2023	前期	月	1限	江口 克之	Taxonomy（系統分類学各論）	I476	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I476.html	専門教育科目	05
2023	前期	金	1限	得平 茂樹	GenomeScience/ゲノム科学各論	I477	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I477.html	専門教育科目	05
2023	後期	木	2限	鐘ヶ江 健	生物学特別講義（生理学）	I478	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_05_I478.html	専門教育科目	05
2023	後期	水	2限	川原 裕之	生物学特別講義（生化学）	I479	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_05_I479.html	専門教育科目	05
2023	後期	金	3限	中谷 直輝	化学熱力学III	I487	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_05_I487.html	専門教育科目	05
2023	前期	火	3限	青木 勇二	物理通論Ⅰ（生命科学コース用）	I490	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I490.html		05
2023	後期	火	3限	荒畑 恵美子	物理通論Ⅱ（生命科学コース用）	I491	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_05_I491.html		05
2023	前期	月	2限	WEITEMIER,AdamZachary	PracticesinBiology3（生物学基礎演習3）	I494	1	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_05_I494.html		05
2023	後期	月	4限	澄川靖信	ソフトウェア工学（副専攻）	J0001	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0I_J0001.html		0I
2023	前期	火	3限	石川 博	データ解析（副専攻）	J0002	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0I_J0002.html		0I
2023	後期	火	3限	石川 博	データベース（副専攻）	J0003	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0I_J0003.html		0I
2023	後期	水	2限	椿本 弥生	テキスト分析（副専攻）	J0004	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0I_J0004.html		0I
2023	前期	水	3限	柳澤 優香	プログラミング（副専攻）	J0005	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0I_J0005.html		0I
2023	前期	火	5限	近藤 伸彦	機械学習Ⅰ（副専攻）	J0006	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0I_J0006.html		0I
2023	後期	月	3限	近藤 伸彦	機械学習Ⅱ（副専攻）	J0007	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0I_J0007.html		0I
2023	前期	火	4限	石川 博	データサイエンスPBL（副専攻）（石川）	J0008	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0I_J0008.html	副専攻専門教育科目	0I
2023	前期	水	5限	椿本 弥生	データサイエンスPBL（副専攻）（椿本）	J0009	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_0I_J0009.html	副専攻専門教育科目	0I
2023	後期	火	5限	山下 英明	データサイエンスPBL（副専攻）（山下）	J0010	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0I_J0010.html	副専攻専門教育科目	0I
2023	後期	火	5限	近藤 伸彦	データサイエンスPBL（副専攻）（近藤）	J0011	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_0I_J0011.html	副専攻専門教育科目	0I
2023	前期	月,月,月,月	1限,3限,4限,5限	伊藤 喜彦	建築デザインI	K0002	5	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0002.html	都市環境学部専門教育科目	A5
2023	後期	月,月,月,月	1限,3限,4限,5限	能作 文徳	建築設計製図II	K0003	5	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0003.html	都市環境学部専門教育科目	A5
2023	後期	月	3限	今村 能之	河川工学	K0006	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0006.html	都市環境学部専門教育科目	A5
2023	前期	水	3限	吉田 圭一郎	地理学概説I	K0008	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A5_K0008.html	都市環境学部専門教育科目	A5
2023	前期	水	3限	吉川徹	都市計画	K0009	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A5_K0009.html	都市環境学部専門教育科目	A5
2023	前期	月	3限	小根山 裕之	交通システム工学	K0011	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0011.html	都市環境学部専門教育科目	A5
2023	後期	金,金,金,金	1限,3限,4限,5限	小泉 雅生	建築デザインII	K0017	5	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A5_K0017.html	都市環境学部専門教育科目	A5
2023	前期	月	4限	若林 芳樹	都市地理学	K0019	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0019.html	都市環境学部専門教育科目	A5
2023	前期	月,月,月,月	1限,3限,4限,5限	伊藤 喜彦	建築デザインI	K002	5	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_06_K002.html	都市環境学部専門教育科目	06
2023	前期	月	3限	砂金 伸治	応用力学	K0020	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0020.html	都市環境学部専門教育科目	A5
2023	後期	月	5限	若林 芳樹	地理学概説II	K0024	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0024.html	都市環境学部専門教育科目	A5
2023	後期	月	4限	荒井 康裕	土木計画学	K0025	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0025.html	都市環境学部専門教育科目	A5
2023	集中	他	0限	矢部 直人	計量地理学	K0027	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/9/2023_A5_K0027.html	都市環境学部専門教育科目	A5
2023	後期	月,月	4限,5限	新谷 哲也	都市基盤環境情報処理実習II	K0028	2	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A5_K0028.html	都市環境学部専門教育科目	A5
2023	後期	月,月,月,月	1限,3限,4限,5限	能作 文徳	建築設計製図II	K003	5	http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_06_K003.html	都市環境学部専門教育科目	06
